Date,Currency_code,Country,Local_price,Dollar_price
2005-06-01,KRW,South Korea,2500,2.486325211
2005-06-01,LKR,Sri Lanka,175,1.75096303
2005-06-01,MXN,Mexico,28,2.576489533
2005-06-01,MYR,Malaysia,5.25,1.381578947
2005-06-01,NOK,Norway,39,6.06286727
2005-06-01,NZD,New Zealand,4.45,3.173358055
2005-06-01,PKR,Pakistan,130,2.18047635
2005-06-01,PEN,Peru,8.99,2.762244208
2005-06-01,PHP,Philippines,80,1.466544455
2005-06-01,PLN,Poland,6.5,1.963983563
2005-06-01,RUB,Russia,42,1.478586893
2005-06-01,SAR,Saudi Arabia,9,2.399936002
2005-06-01,SGD,Singapore,3.6,2.167760583
2005-06-01,SEK,Sweden,31,4.166554663
2005-06-01,THB,Thailand,60,1.4803849
2005-06-01,TRY,Turkey,4,2.92184076
2005-06-01,TWD,Taiwan,75,2.405773857
2005-06-01,UAH,Ukraine,7.25,1.432806324
2005-06-01,UYU,Uruguay,44,1.823834197
2005-06-01,USD,United States,3.06,3.06
2005-06-01,ZAR,South Africa,13.95,2.098312325
2006-01-01,ARS,Argentina,4.75,1.550362295
2006-01-01,AUD,Australia,3.25,2.442140066
2006-01-01,BRL,Brazil,6.2,2.741543224
2006-01-01,CAD,Canada,3.52,3.007518797
2006-01-01,CHF,Switzerland,6.3,4.931120852
2006-01-01,CLP,Chile,1560,2.984218077
2006-01-01,CNY,China,10.5,1.302067187
2006-01-01,CZK,Czech Republic,62,2.600943891
2006-01-01,DKK,Denmark,27.75,4.492544804
2006-01-01,EGP,Egypt,9.25,1.611498258
2006-01-01,EUR,Euro area,2.91,3.513825
2006-01-01,GBP,Britain,1.88,3.316131998
2006-01-01,HKD,Hong Kong,12,1.548147384
2006-01-01,HUF,Hungary,560,2.705889175
2006-01-01,IDR,Indonesia,14600,1.543340381
2006-01-01,JPY,Japan,250,2.187130922
2006-01-01,KRW,South Korea,2500,2.557675584
2006-01-01,MXN,Mexico,28,2.655916528
2006-01-01,MYR,Malaysia,5.5,1.46713615
2006-01-01,NZD,New Zealand,4.45,3.075965992
2006-01-01,PEN,Peru,9.5,2.756819501
2006-01-01,PHP,Philippines,82,1.559528338
2006-01-01,PLN,Poland,6.5,2.086610382
2006-01-01,RUB,Russia,46,1.604464597
2006-01-01,SGD,Singapore,3.6,2.20143093
2006-01-01,SEK,Sweden,33,4.279101129
2006-01-01,THB,Thailand,60,1.50924412
2006-01-01,TRY,Turkey,4.1,3.067714179
2006-01-01,TWD,Taiwan,75,2.347454577
2006-01-01,USD,United States,3.15,3.15
2006-01-01,ZAR,South Africa,13.95,2.294294689
2006-05-01,AED,UAE,9,2.450579971
2006-05-01,ARS,Argentina,7,2.290201211
