Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
749,Hilton Grand Vacations,HGV,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",15000,3978,313,8685,4945
750,Grocery Outlet Holding,GO,Food & Drug Stores,Food & Drug Stores,949,3969.5,79.4,2969.6,2856
751,Dentsply Sirona,XRAY,Health Care,Medical Products and Equipment,15000,3965,-132,7370,6882
752,V2X,VVX,Aerospace & Defense,Aerospace & Defense,16000,3963.1,-22.6,3081.9,1469
753,Crocs,CROX,Apparel,Apparel,7030,3962.3,792.6,4643.8,8700
754,Spectrum Brands Holdings,SPB,Household Products,Household and Personal Products,3100,3961.3,1801.5,5258.4,2695
755,Visteon,VC,Motor Vehicles & Parts,Motor Vehicles & Parts,10000,3954,486,2727,3233
756,Acuity Brands,AYI,Industrials,"Electronics, Electrical Equip.",12200,3952.2,346,3408.5,8281
757,Greenbrier,GBX,Transportation,Transportation Equipment,13800,3944,62.5,3978.4,1620
758,Webster Financial,WBS,Financials,Commercial Banks,4196,3942.6,867.8,74945.2,8710
759,Cabot,CBT,Chemicals,Chemicals,4268,3931,445,3604,5111
760,RXO,RXO,Transportation,"Trucking, Truck Leasing",7242,3927,4,1825,2561
761,Chord Energy,CHRD,Energy,"Mining, Crude-Oil Production",514,3896.6,1023.8,6926.2,7405
762,Popular,BPOP,Financials,Commercial Banks,9088,3896,541.3,70758.2,6368
763,Garrett Motion,GTX,Motor Vehicles & Parts,Motor Vehicles & Parts,8650,3886,261,2527,2263
764,Tutor Perini,TPC,Engineering & Construction,Engineering & Construction,8200,3880.2,-171.2,4429.9,752
765,Copart,CPRT,Retailing,"Automotive Retailing, Services",12000,3869.5,1237.7,6737.9,55688
766,Toast,TOST,Business Services,Financial Data Services,5500,3865,-246,1958,13656
767,Align Technology,ALGN,Health Care,Medical Products and Equipment,21610,3862.3,445.1,6083.9,24628
768,A.O. Smith,AOS,Industrials,"Electronics, Electrical Equip.",12000,3852.8,556.6,3213.9,13156
769,TransUnion,TRU,Business Services,Financial Data Services,13200,3831.2,-206.2,11105.1,15500
770,NCR Voyix,VYX,Technology,Computer Software,15500,3830,-423,4990,1822
771,Akamai Technologies,AKAM,Technology,Internet Services and Retailing,10281,3811.9,547.6,9900,16663
772,Trimble,TRMB,Technology,"Electronics, Electrical Equip.",12700,3798.7,311.3,9539.3,15812
773,Medical Mutual of Ohio,,Financials,"Insurance: Life, Health (Mutual)",3084,3795.5,65.9,2787.4,
774,AMN Healthcare Services,AMN,Health Care,Health Care: Pharmacy and Other Services,3585,3789.3,210.7,2924.4,2368
775,Mettler-Toledo International,MTD,Technology,"Scientific,Photographic and  Control Equipment",16650,3788.3,788.8,3355.6,28474
776,ScanSource,SCSC,Wholesalers,Wholesalers: Electronics and Office Equipment,2300,3787.7,89.8,2068.2,1109
777,LCI Industries,LCII,Motor Vehicles & Parts,Motor Vehicles & Parts,11700,3784.8,64.2,2959.3,3132
778,Cboe Global Markets,CBOE,Financials,Securities,1647,3773.5,761.4,7487.5,19399
779,Diebold Nixdorf,DBD,Technology,"Computers, Office Equipment",21000,3760.5,,4162,1294
780,ChampionX,CHX,Energy,"Oil and Gas Equipment, Services",7100,3758.3,314.2,3241.7,6859
781,Corpay,CPAY,Business Services,Financial Data Services,10500,3757.7,981.9,15476.3,22170
782,iHeartMedia,IHRT,Media,Entertainment,9990,3751,-1102.7,6952.6,313
783,Travel + Leisure,TNL,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",19000,3750,396,6738,3478
784,Dream Finders Homes,DFH,Engineering & Construction,Homebuilders,1236,3748.6,295.9,2562.4,4079
785,Boyd Gaming,BYD,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",16129,3738.5,620,6273.1,6466
786,NLV Financial,,Financials,"Insurance: Life, Health (stock)",1370,3735,217.4,45472.1,
787,Ensign Group,ENSG,Health Care,Health Care: Medical Facilities,35300,3729.4,209.4,4177.5,7080
788,Sally Beauty Holdings,SBH,Retailing,Specialty Retailers: Other,20000,3728.1,184.6,2725.3,1303
789,Conduent,CNDT,Business Services,Diversified Outsourcing Services,59000,3722,-296,3162,710
790,Sylvamo,SLVM,Materials,Forest and Paper Products,6500,3721,253,2872,2560
791,Tri Pointe Homes,TPH,Engineering & Construction,Homebuilders,1438,3715.2,343.7,4914.6,3710
792,EnerSys,ENS,Industrials,"Electronics, Electrical Equip.",11350,3708.6,175.8,3616.7,3818
793,Incyte,INCY,Health Care,Pharmaceuticals,2524,3695.6,597.6,6782.1,12791
794,Century Communities,CCS,Engineering & Construction,Homebuilders,1650,3692.2,259.2,4139.4,3067
795,Rithm Capital,RITM,Financials,Real estate,6570,3691.9,622.3,35311.8,5393
796,Euronet Worldwide,EEFT,Business Services,Financial Data Services,10000,3688,279.7,5894.4,5033
797,Hawaiian Electric Industries,HE,Energy,Utilities: Gas and Electric,3652,3682.2,199.2,17243.8,1243
798,DraftKings,DKNG,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",4400,3665.4,-802.1,3944.9,39447
799,IDEXX Laboratories,IDXX,Health Care,Medical Products and Equipment,11000,3661,845,3259.9,44843
800,MYR Group,MYRG,Engineering & Construction,Engineering & Construction,9000,3643.9,91,1578.7,2959
801,Deckers Outdoor,DECK,Apparel,Apparel,4200,3627.3,516.8,2556.2,24161
802,DexCom,DXCM,Health Care,Medical Products and Equipment,9550,3622.3,541.5,6264.5,53471
803,MKS Instruments,MKSI,Technology,Semiconductors and Other Electronic Components,10100,3622,-1841,9118,8918
804,VICI Properties,VICI,Financials,Real estate,28,3612,2513.5,44059.8,31075
805,Cooper Cos.,COO,Health Care,Medical Products and Equipment,15000,3593.2,294.2,11658.9,20166
806,Frontier Group Holdings,ULCC,Transportation,Airlines,7214,3589,-11,4993,1812
807,Qorvo,QRVO,Technology,Semiconductors and Other Electronic Components,8500,3569.4,103.2,6691.9,11087
808,Five Below,FIVE,Retailing,Specialty Retailers: Other,14500,3559.4,301.1,3872,10019
809,TreeHouse Foods,THS,"Food, Beverages & Tobacco",Food Consumer Products,7400,3552.9,53.1,4106.6,2098
810,Scotts Miracle-Gro,SMG,Chemicals,Chemicals,6375,3551.3,-380.1,3413.7,4229
811,Atlassian,TEAM,Technology,Computer Software,10726,3534.6,-486.8,4106.8,50613
812,Entegris,ENTG,Technology,Semiconductors and Other Electronic Components,8000,3523.9,180.7,8812.6,21184
813,Atkore,ATKR,Industrials,"Electronics, Electrical Equip.",5208,3518.8,689.9,2935,6999
814,H.B. Fuller,FUL,Chemicals,Chemicals,7200,3510.9,144.9,4723.6,4345
815,Granite Construction,GVA,Engineering & Construction,Engineering & Construction,4100,3509.1,43.6,2813.5,2512
816,Winnebago Industries,WGO,Motor Vehicles & Parts,Motor Vehicles & Parts,6250,3490.7,215.9,2432.4,2166
817,FTI Consulting,FCN,Business Services,Diversified Outsourcing Services,7990,3489.2,274.9,3325.9,7472
818,AptarGroup,ATR,Materials,"Packaging, Containers",13800,3487.5,284.5,4451.9,9521
819,Columbia Sportswear,COLM,Apparel,Apparel,10070,3487.2,251.4,2939,4854
820,Roku,ROKU,Media,Entertainment,3150,3484.6,-709.6,4261.8,9353
821,Civitas Resources,CIVI,Energy,"Mining, Crude-Oil Production",516,3479.2,784.3,14097.3,7669
822,H&R Block,HRB,Financials,Diversified Financials,39200,3472.2,553.7,3072.3,6852
823,Alpha Metallurgical Resources,AMR,Energy,"Mining, Crude-Oil Production",4160,3471.4,722,2406.1,4308
824,Patrick Industries,PATK,Motor Vehicles & Parts,Motor Vehicles & Parts,10000,3468,142.9,2562.4,2674
825,Murphy Oil,MUR,Energy,"Mining, Crude-Oil Production",725,3460.1,661.6,9766.7,6973
826,Synovus Financial,SNV,Financials,Commercial Banks,4798,3454.4,543.7,59809.5,5866
827,Cracker Barrel Old Country Store,CBRL,"Hotels, Restaurants & Leisure",Food Services,77000,3442.8,99.1,2218.1,1615
828,Cheesecake Factory,CAKE,"Hotels, Restaurants & Leisure",Food Services,47900,3439.5,101.4,2840.4,1848
829,CNX Resources,CNX,Energy,"Mining, Crude-Oil Production",470,3434.9,1720.7,8626.7,3632
830,Chefs' Warehouse,CHEF,Wholesalers,Wholesalers: Food and Grocery,4873,3433.8,34.6,1705.3,1499
831,Donaldson,DCI,Industrials,Industrial Machinery,13000,3430.8,358.8,2770.5,8989
832,Mueller Industries,MLI,Industrials,Industrial Machinery,4509,3420.3,602.9,2759.3,6126
833,MRC Global,MRC,Wholesalers,Wholesalers: Diversified,2800,3412,114,1886,1061
834,Chart Industries,GTLS,Industrials,Industrial Machinery,11637,3411.3,47.3,9102.4,6964
835,Alight,ALIT,Business Services,Diversified Outsourcing Services,18000,3410,-345,10782,5545
836,Vishay Intertechnology,VSH,Technology,Semiconductors and Other Electronic Components,23500,3402,323.8,4239.9,3119
837,Range Resources,RRC,Energy,"Mining, Crude-Oil Production",548,3374.4,871.1,7203.9,8353
838,Valley National Bancorp,VLY,Financials,Commercial Banks,3749,3364.6,498.5,60935,4051
839,Match Group,MTCH,Technology,Internet Services and Retailing,2610,3364.5,651.5,4507.9,9724
840,Gen Digital,GEN,Technology,Computer Software,3700,3338,1349,15947,14267
841,Wintrust Financial,WTFC,Financials,Commercial Banks,5521,3327.2,622.6,56259.9,6417
842,Moog,MOG.A,Aerospace & Defense,Aerospace & Defense,13500,3319.1,171,3808,5307
843,First Solar,FSLR,Energy,Energy,6700,3318.6,830.8,10365.1,18068
844,Central Garden & Pet,CENT,Household Products,Household and Personal Products,6500,3310.1,125.6,3378.6,2435
845,Green Plains,GPRE,Energy,Energy,921,3295.7,-93.4,1939.3,1495
846,Werner Enterprises,WERN,Transportation,"Trucking, Truck Leasing",13809,3283.5,112.4,3157.9,2483
847,AppLovin,APP,Technology,Computer Software,1731,3283.1,356.7,5359.2,22796
848,ITT,ITT,Industrials,Industrial Machinery,10600,3283,410.5,3932.6,11168
849,Herc Holdings,HRI,Business Services,Equipment Leasing,7200,3282,347,7061,4773
850,Gray Television,GTN,Media,Entertainment,9649,3281,-76,10640,635
851,IDEX,IEX,Industrials,Industrial Machinery,8800,3273.9,596.1,5865.2,18470
852,Boston Properties,BXP,Financials,Real estate,836,3273.6,190.2,26026.1,10254
853,Pitney Bowes,PBI,Technology,Computer Software,10500,3266.3,-385.6,4272.2,764
