Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
953,AMC Networks,AMCX,Media,Entertainment,1900,2711.9,215.5,4969.8,528
954,SBA Communications,SBAC,Financials,Real estate,1787,2711.6,501.8,10178.4,23427
955,Americold Realty Trust,COLD,Financials,Real estate,14632,2702.8,-336.2,7869.3,7072
956,NewMarket,NEU,Chemicals,Chemicals,2000,2698.4,388.9,2308.9,6086
957,Park Hotels & Resorts,PK,Financials,Real estate,90,2698,97,9419,3682
958,Alexandria Real Estate Equities,ARE,Financials,Real estate,568,2690.3,103.6,36771.4,22555
959,Griffon,GFF,Materials,"Building Materials, Glass",5700,2685.2,77.6,2418.9,3763
960,Air Lease,AL,Business Services,Equipment Leasing,163,2685,614.6,30452.3,5729
961,UL Solutions,ULS,Business Services,Diversified Outsourcing Services,15063,2678,260,2736,
962,Teradyne,TER,Technology,Semiconductors and Other Electronic Components,6500,2676.3,448.8,3486.8,17260
963,OGE Energy,OGE,Energy,Utilities: Gas and Electric,2329,2674.3,416.8,12790.7,6871
964,Bio-Rad Laboratories,BIO,Technology,"Scientific,Photographic and  Control Equipment",8030,2671.3,-637.3,12299.1,9794
965,Spire,SR,Energy,Utilities: Gas and Electric,3589,2666.3,217.5,10313.6,3374
966,Gannett,GCI,Media,"Publishing, Printing",12800,2663.6,-27.8,2181.2,363
967,Stericycle,SRCL,Business Services,Waste Management,13948,2659.3,-21.4,5352.6,4883
968,Cullen/Frost Bankers,CFR,Financials,Commercial Banks,5495,2646.3,598,50845,7229
969,Extra Space Storage,EXR,Financials,Real estate,7618,2645.1,803.2,27456.3,31102
970,REV Group,REVG,Motor Vehicles & Parts,Motor Vehicles & Parts,6724,2638,45.3,1410.4,1144
971,ProFrac Holding,ACDC,Energy,"Oil and Gas Equipment, Services",2949,2630,-97.7,3070.7,1334
972,Nordson,NDSN,Industrials,Industrial Machinery,7900,2628.6,487.5,5251.8,15702
973,Summit Materials,SUM,Materials,"Building Materials, Glass",5300,2619.5,285.9,5149.6,7767
974,Valvoline,VVV,Chemicals,Chemicals,10250,2617.9,1419.7,2889.9,5779
975,Kontoor Brands,KTB,Apparel,Apparel,13700,2607.5,231,1645.4,3360
976,Skyline Champion,SKY,Engineering & Construction,Homebuilders,7700,2606.6,401.8,1562.7,4910
977,Teladoc Health,TDOC,Health Care,Health Care: Pharmacy and Other Services,5208,2602.4,-220.4,4392.4,2522
978,Louisiana-Pacific,LPX,Materials,"Building Materials, Glass",4100,2581,178,2437,6068
979,Universal,UVV,"Food, Beverages & Tobacco",Tobacco,19600,2569.8,124.1,2639.2,1271
980,Consol Energy,CEIX,Energy,"Mining, Crude-Oil Production",2020,2568.9,655.9,2675,2480
981,Encore Wire,,Industrials,"Electronics, Electrical Equip.",1629,2567.7,372.4,1967.9,4148
982,Playtika Holding,PLTK,Media,Entertainment,3600,2567,235,3175,2613
983,Alliance Resource Partners,ARLP,Energy,"Mining, Crude-Oil Production",3595,2566.7,630.1,2788.4,2568
984,Envista Holdings,NVST,Health Care,Medical Products and Equipment,12800,2566.5,-100.2,6605.1,3674
985,Shift4 Payments,FOUR,Business Services,Financial Data Services,3030,2564.8,86.2,3387.8,5695
986,Talen Energy,TLNE,Energy,Energy,2000,2554,,7121,5569
987,Carpenter Technology,CRS,Materials,Metals,4500,2550.3,56.4,3053.9,3529
988,WEX,WEX,Business Services,Financial Data Services,7200,2548,266.6,13882.1,9913
989,Old National Bancorp,ONB,Financials,Commercial Banks,3940,2540.2,582,49089.8,5096
990,AGNC Investment,AGNC,Financials,Real estate,53,2538,155,71596,6887
991,Wabash National,WNC,Motor Vehicles & Parts,Motor Vehicles & Parts,6667,2536.5,231.3,1362.8,1350
992,MSCI,MSCI,Business Services,Financial Data Services,5794,2528.9,1148.6,5518.2,44401
993,Stagwell,STGW,Business Services,"Advertising, marketing",10250,2527.2,0.1,3767,1670
994,Mativ Holdings,MATV,Chemicals,Chemicals,5400,2516.9,-309.5,2642.4,1018
995,Belden,BDC,Industrials,"Electronics, Electrical Equip.",8000,2512.1,242.8,3240.2,3805
996,Allegiant Travel,ALGT,Transportation,Airlines,6686,2509.9,117.6,4869.4,1375
997,Dropbox,DBX,Technology,Computer Software,2693,2501.6,453.6,2983.5,8359
998,Exact Sciences,EXAS,Health Care,Pharmaceuticals,6550,2499.8,-204.1,6471.3,12537
999,BWX Technologies,BWXT,Aerospace & Defense,Aerospace & Defense,7800,2496.3,245.8,2747.1,9380
1000,Clear Channel Outdoor Hldgs.,CCO,Business Services,"Advertising, marketing",3900,2489,-310.9,4722.5,798
