Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
705,Option Care Health,Health Care,6806,4302.3,267.1,3217,John C. Rademacher,U.S.,Bannockburn,Illinois,https://www.optioncarehealth.com,Public,5819
706,SiteOne Landscape Supply,Wholesalers,7585,4301.2,173.4,2828.9,Doug Black,U.S.,Roswell,Georgia,https://www.siteone.com,Public,7887
707,Topgolf Callaway Brands,"Hotels, Restaurants & Leisure",32000,4284.8,95,9120.6,Oliver G. Brewer III,U.S.,Carlsbad,California,https://www.topgolfcallawaybrands.com,Public,2969
708,eXp World Holdings,Financials,2114,4281.1,-9,385.7,Glenn Sanford,U.S.,Bellingham,Washington,https://www.expworldholdings.com,Public,1570
709,Abercrombie & Fitch,Retailing,19200,4280.7,328.1,2974.2,Fran Horowitz,U.S.,New Albany,Ohio,https://www.abercrombie.com,Public,6317
710,Atmos Energy,Energy,5019,4275.4,885.9,22517,John K. Akers,U.S.,Dallas,Texas,https://www.atmosenergy.com,Public,17930
711,Catalent,Health Care,17800,4263,-256,10777,Alessandro Maselli,U.S.,Somerset,New Jersey,https://www.catalent.com,Public,10203
712,Brown & Brown,Financials,16152,4257.1,870.5,14883.4,J. Powell Brown,U.S.,Daytona Beach,Florida,https://www.bbinsurance.com,Public,24979
713,GoDaddy,Technology,6159,4254.1,1374.8,7564.9,Aman Bhutani,U.S.,Tempe,Arizona,https://www.godaddy.com,Public,16909
714,American Water Works,Energy,6500,4234,944,30298,M. Susan Hardwick,U.S.,Camden,New Jersey,https://www.amwater.com,Public,23809
715,Selective Insurance Group,Financials,2650,4232.1,365.2,11802.5,John J. Marchioni,U.S.,Branchville,New Jersey,https://www.selective.com,Public,6637
716,Brown-Forman,"Food, Beverages & Tobacco",5600,4228,783,7777,Lawson E. Whiting,U.S.,Louisville,Kentucky,https://www.brown-forman.com,Public,24617
717,Advantage Solutions,Business Services,45000,4224.8,-63.3,3779.3,David Peacock,U.S.,Irvine,California,https://www.advantagesolutions.net,Public,1387
718,ResMed,Health Care,10140,4223,897.6,6751.7,Michael J. Farrell,U.S.,San Diego,California,https://www.resmed.com,Public,29087
719,Splunk,Technology,7500,4215.6,263.7,6687.4,Gary Steele,U.S.,San Francisco,California,https://www.splunk.com,Private,15868
720,Plexus,Technology,25000,4210.3,139.1,3321.2,Todd P. Kelsey,U.S.,Neenah,Wisconsin,https://www.plexus.com,Public,2618
721,Hub Group,Transportation,5950,4202.6,167.5,2936,Phillip D. Yeager,U.S.,Oak Brook,Illinois,https://www.hubgroup.com,Public,2715
722,Lincoln Electric Holdings,Industrials,12000,4191.6,545.2,3377.3,Steven B. Hedlund,U.S.,Cleveland,Ohio,https://www.lincolnelectric.com,Public,14515
723,NCR Atleos,Business Services,20000,4191,-134,5741,Timothy C. Oliver,U.S.,Atlanta,Georgia,https://www.ncratleos.com,Public,1424
724,Calumet,Energy,1580,4181,48.1,2751.3,Todd Borgmann,U.S.,Indianapolis,Indiana,https://www.calumetspecialty.com,Public,1192
725,Dycom Industries,Engineering & Construction,15611,4175.6,218.9,2516.9,Steven E. Nielsen,U.S.,Palm Beach Gardens,Florida,https://www.dycomind.com,Public,4176
726,Valmont Industries,Materials,11125,4174.6,150.8,3477.4,Avner M. Applbaum,U.S.,Omaha,Nebraska,https://www.valmont.com,Public,4608
727,ATI,Materials,7300,4173.7,410.8,4985.1,Kimberly A. Fields,U.S.,Dallas,Texas,https://www.atimaterials.com,Public,6368
728,Twilio,Technology,5867,4153.9,-1015.4,11609.7,Khozema Z. Shipchandler,U.S.,San Francisco,California,https://www.twilio.com,Public,11133
729,CNO Financial Group,Financials,3500,4146.8,276.5,35102.5,Gary C. Bhojwani,U.S.,Carmel,Indiana,https://www.cnoinc.com,Public,2986
730,Patterson-UTI Energy,Energy,10600,4146.5,246.3,7420,William A. Hendricks Jr.,U.S.,Houston,Texas,https://www.patenergy.com,Public,4874
731,Brinker International,"Hotels, Restaurants & Leisure",64323,4133.2,102.6,2487,Kevin D. Hochman,U.S.,Dallas,Texas,https://www.brinker.com,Public,2197
732,Charles River Laboratories International,Health Care,21100,4129.4,474.6,8195,James C. Foster,U.S.,Wilmington,Massachusetts,https://www.criver.com,Public,13957
733,Hyster-Yale,Industrials,8600,4118.3,125.9,2079.1,Rajiv K. Prasad,U.S.,Cleveland,Ohio,https://www.hyster-yale.com,Public,1122
734,Brighthouse Financial,Financials,1500,4117,-1112,236340,Eric T. Steigerwalt,U.S.,Charlotte,North Carolina,https://www.brighthousefinancial.com,Public,3241
735,Service Corp. International,Business Services,21267,4099.8,537.3,16355.4,Thomas L. Ryan,U.S.,Houston,Texas,https://www.sci-corp.com,Public,10873
736,CrossAmerica Partners,Energy,2521,4090.5,42.6,1181.7,Charles M. Nifong Jr.,U.S.,Allentown,Pennsylvania,https://www.crossamericapartners.com,Public,866
737,Cadence,Technology,11226,4090,1041.1,5669.5,Anirudh Devgan,U.S.,San Jose,California,https://www.cadence.com,Public,84855
738,MillerKnoll,Household Products,10900,4087.1,42.1,4274.8,Andrea R. Owen,U.S.,Zeeland,Michigan,https://www.millerknoll.com,Public,1803
739,Realty Income,Financials,418,4079,872.3,57779.4,Sumit Roy,U.S.,San Diego,California,https://www.realtyincome.com,Public,46587
740,Middleby,Industrials,10722,4036.6,400.9,6906.7,Timothy J. FitzGerald,U.S.,Elgin,Illinois,https://www.middleby.com,Public,8645
741,M/I Homes,Engineering & Construction,1607,4033.5,465.4,4022.4,Robert H. Schottenstein,U.S.,Columbus,Ohio,https://www.mihomes.com,Public,3790
742,Hologic,Health Care,6990,4030.4,456,9139.3,Stephen P. MacMillan,U.S.,Marlborough,Massachusetts,https://www.hologic.com,Public,18300
