Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
840,Gen Digital,Technology,3700,3338,1349,15947,Vincent Pilette,U.S.,Tempe,Arizona,https://www.gendigital.com,Public,14267
841,Wintrust Financial,Financials,5521,3327.2,622.6,56259.9,Timothy S. Crane,U.S.,Rosemont,Illinois,https://www.wintrust.com,Public,6417
842,Moog,Aerospace & Defense,13500,3319.1,171,3808,Patrick J. Roche,U.S.,East Aurora,New York,https://www.moog.com,Public,5307
843,First Solar,Energy,6700,3318.6,830.8,10365.1,Mark R. Widmar,U.S.,Tempe,Arizona,https://www.firstsolar.com,Public,18068
844,Central Garden & Pet,Household Products,6500,3310.1,125.6,3378.6,Mary Beth Springer,U.S.,Walnut Creek,California,https://www.central.com,Public,2435
845,Green Plains,Energy,921,3295.7,-93.4,1939.3,Todd A. Becker,U.S.,Omaha,Nebraska,https://www.gpreinc.com,Public,1495
846,Werner Enterprises,Transportation,13809,3283.5,112.4,3157.9,Derek J. Leathers,U.S.,Omaha,Nebraska,https://www.werner.com,Public,2483
847,AppLovin,Technology,1731,3283.1,356.7,5359.2,Adam Foroughi,U.S.,Palo Alto,California,https://www.applovin.com,Public,22796
848,ITT,Industrials,10600,3283,410.5,3932.6,Luca Savi,U.S.,Stamford,Connecticut,https://www.itt.com,Public,11168
849,Herc Holdings,Business Services,7200,3282,347,7061,Lawrence H. Silber,U.S.,Bonita Springs,Florida,https://www.hercrentals.com,Public,4773
850,Gray Television,Media,9649,3281,-76,10640,Patrick D. LaPlatney/Hilton H. Howell Jr.,U.S.,Atlanta,Georgia,https://www.gray.tv,Public,635
851,IDEX,Industrials,8800,3273.9,596.1,5865.2,Eric D. Ashleman,U.S.,Northbrook,Illinois,https://www.idexcorp.com,Public,18470
852,Boston Properties,Financials,836,3273.6,190.2,26026.1,Owen D. Thomas,U.S.,Boston,Massachusetts,https://www.bxp.com,Public,10254
853,Pitney Bowes,Technology,10500,3266.3,-385.6,4272.2,Jason C. Dies,U.S.,Stamford,Connecticut,https://www.pitneybowes.com,Public,764
854,Steelcase,Household Products,12250,3232.6,35.3,2202.8,Sara E. Armbruster,U.S.,Grand Rapids,Michigan,https://www.steelcase.com,Public,1494
855,Sun Communities,Financials,6757,3224.6,-213.3,16940.7,Gary A. Shiffman,U.S.,Southfield,Michigan,https://suninc.com,Public,15997
856,AdaptHealth,Health Care,10700,3200.2,-678.9,4508.7,Suzanne Foster,U.S.,Plymouth Meeting,Pennsylvania,https://www.adapthealth.com,Public,1530
857,Vertex Energy,Energy,481,3184.6,-71.5,854.6,Benjamin P. Cowart,U.S.,Houston,Texas,https://www.vertexenergy.com,Public,131
858,Genesis Energy,Energy,2137,3177,117.7,7018.8,Grant E. Sims,U.S.,Houston,Texas,https://www.genesisenergy.com,Public,1362
859,Jackson Financial,Financials,3428,3159,934,330255,Laura L. Prieskorn,U.S.,Lansing,Michigan,https://www.jackson.com,Public,5120
860,FirstCash Holdings,Retailing,19000,3151.8,219.3,4289.9,Rick L. Wessel,U.S.,Fort Worth,Texas,https://www.firstcash.com,Public,5753
861,Cal-Maine Foods,"Food, Beverages & Tobacco",2896,3146.2,758,1954.5,Sherman L. Miller,U.S.,Ridgeland,Mississippi,https://www.calmainefoods.com,Public,2883
862,Arch Resources,Energy,3404,3145.8,464,2484.2,Paul A. Lang,U.S.,St. Louis,Missouri,https://www.archrsc.com,Public,2934
863,Avient,Chemicals,9300,3142.8,75.7,5968.5,Ashish K. Khandpur,U.S.,Avon Lake,Ohio,https://www.avient.com,Public,3961
864,Cano Health,Health Care,2700,3137.8,-594.4,1013.7,Mark Kent,U.S.,Miami,Florida,https://www.canohealth.com,Private,1
865,BlueLinx Holdings,Wholesalers,1990,3136.4,48.5,1537.6,Shyam K. Reddy,U.S.,Marietta,Georgia,https://www.bluelinxco.com,Public,1127
866,Sinclair,Media,7300,3134,-291,6085,Christopher S. Ripley,U.S.,Hunt Valley,Maryland,https://www.sbgi.net,Public,857
867,BOK Financial,Financials,4966,3132.4,530.7,49824.8,Stacy C. Kymes,U.S.,Tulsa,Oklahoma,https://www.bokf.com,Public,5946
868,Permian Resources,Energy,461,3120.9,476.3,14965.6,William M. Hickey III/James H. Walter,U.S.,Midland,Texas,https://permianres.com,Public,13631
869,PACS Group,Health Care,32433,3111.5,112.9,3512.7,Jason  Murray,U.S.,Farmington,Utah,https://pacs.com,Public,
870,Coinbase Global,Financials,3416,3108.4,94.9,206983,Brian Armstrong,U.S.,Wilmington,Delaware,https://www.coinbase.com,Public,64232
871,Western Midstream Partners,Energy,1377,3106.5,1022.2,12471.6,Michael P. Ure,U.S.,The Woodlands,Texas,https://www.westernmidstream.com,Public,13526
872,Federated Mutual Insurance,Financials,2922,3098.7,422.8,12190,Nicholas R. Lower,U.S.,Owatonna,Minnesota,https://www.federatedinsurance.com,Private,
873,G-III Apparel Group,Apparel,4050,3098.2,176.2,2681.2,Morris Goldfarb,U.S.,New York,New York,https://www.giii.com,Public,1318
874,Vontier,Technology,8000,3095.2,376.9,4294,Mark D. Morelli,U.S.,Raleigh,North Carolina,https://www.vontier.com,Public,6981
875,Matson,Transportation,4315,3094.6,297.1,4294.6,Matthew J. Cox,U.S.,Honolulu,Hawaii,https://www.matson.com,Public,3876
876,Kirby,Transportation,5450,3091.6,222.9,5722.2,David W. Grzebinski,U.S.,Houston,Texas,https://www.kirbycorp.com,Public,5574
877,Kaiser Aluminum,Materials,4000,3087,47.2,2267.4,Keith A. Harvey,U.S.,Franklin,Tennessee,https://www.kaiseraluminum.com,Public,1431
878,Vista Outdoor,Business Services,7000,3079.8,-9.7,2798.9,Jason  Vanderbrink /Eric  Nyman,U.S.,Anoka,Minnesota,https://www.vistaoutdoor.com,Public,1906
879,Designer Brands,Retailing,14000,3075,29.1,2076.2,Douglas M. Howe,U.S.,Columbus,Ohio,https://www.designerbrands.com,Public,626
880,Rollins,Business Services,19031,3073.3,435,2595.5,Jerry E. Gahlhoff Jr.,U.S.,Atlanta,Georgia,https://www.rollins.com,Public,22419
881,Advanced Drainage Systems,Materials,5870,3071.1,507.1,2901.1,D. Scott Barbour,U.S.,Hilliard,Ohio,https://www.adspipe.com,Public,13369
882,Cinemark Holdings,Media,17888,3066.7,188.2,4836.8,Sean Gamble,U.S.,Plano,Texas,https://www.cinemark.com,Public,2188
883,CrowdStrike,Technology,7925,3055.6,89.3,6646.5,George R. Kurtz,U.S.,Austin,Texas,https://www.crowdstrike.com,Public,77541
884,Pinterest,Technology,4014,3055.1,-35.6,3594.4,William J. Ready,U.S.,San Francisco,California,https://investor.pinterestinc.com,Public,23540
885,Instacart,Retailing,3380,3042,-1622,4727,Fidji Simo,U.S.,San Francisco,California,https://instacart.com/company,Public,9938
886,Hillenbrand,Industrials,10400,3039.7,569.7,5547.7,Kimberly K. Ryan,U.S.,Batesville,Indiana,https://www.hillenbrand.com,Public,3528
887,Allison Transmission Holdings,Motor Vehicles & Parts,3700,3035,673,5025,David S. Graziosi,U.S.,Indianapolis,Indiana,https://www.allisontransmission.com,Public,7111
888,RH,Retailing,5645,3029.1,127.6,4143.9,Gary G. Friedman,U.S.,Corte Madera,California,https://www.rh.com,Public,6379
889,Brookdale Senior Living,Health Care,30600,3015.8,-189,5573.4,Lucinda M. Baier,U.S.,Brentwood,Tennessee,https://www.brookdale.com,Public,1252
890,QuidelOrtho,Health Care,7100,2997.8,-10.1,8563.1,Brian J. Blaser,U.S.,San Diego,California,https://www.quidelortho.com,Public,3205
891,Trinity Industries,Transportation,9480,2983.3,106,8906.5,E. Jean Savage,U.S.,Dallas,Texas,https://www.trin.net,Public,2280
892,Teleflex,Health Care,14500,2974.5,356.3,7532.5,Liam J. Kelly,U.S.,Wayne,Pennsylvania,https://www.teleflex.com,Public,10643
893,HEICO,Aerospace & Defense,9600,2968.1,403.6,7195.1,Laurans A. Mendelson,U.S.,Hollywood,Florida,https://www.heico.com,Public,23341
894,Bruker,Technology,9707,2964.5,427.2,4249.9,Frank H. Laukien,U.S.,Billerica,Massachusetts,https://www.bruker.com,Public,12933
895,Carlyle Group,Financials,2200,2963.9,-608.4,21176,Harvey M. Schwartz,U.S.,Washington,District Of Columbia,https://www.carlyle.com,Public,16987
896,Energizer Holdings,Household Products,5080,2959.7,140.5,4509.6,Mark S. LaVigne,U.S.,St. Louis,Missouri,https://www.energizerholdings.com,Public,2113
897,Quad/Graphics,Media,13150,2957.7,-55.4,1509.7,J. Joel Quadracci,U.S.,Sussex,Wisconsin,https://www.quad.com,Public,278
898,Rackspace Technology,Technology,5800,2957.1,-837.8,4096.2,Amar Maletira,U.S.,San Antonio,Texas,https://www.rackspace.com,Public,347
899,Waters,Technology,7900,2956.4,642.2,4626.9,Udit Batra,U.S.,Milford,Massachusetts,https://www.waters.com,Public,20379
900,West Pharmaceutical Services,Health Care,10600,2949.8,593.4,3829.5,Eric M. Green,U.S.,Exton,Pennsylvania,https://www.westpharma.com,Public,28968
901,Carter's,Apparel,15230,2945.6,232.5,2378.6,Michael D. Casey,U.S.,Atlanta,Georgia,https://www.carters.com,Public,3089
902,NeueHealth,Health Care,1252,2938.1,-1151.5,1225.5,G. Mike Mikan,U.S.,Doral,Florida,https://neuehealth.com,Public,52
903,SkyWest,Transportation,12296,2935.4,34.3,7026.3,Russell A. Childs,U.S.,St. George,Utah,https://www.skywest.com,Public,2788
904,Acadia Healthcare,Health Care,20250,2928.7,-21.7,5358.8,Christopher H. Hunter,U.S.,Franklin,Tennessee,https://www.acadiahealthcare.com,Public,7322
905,Revvity,Health Care,11500,2926.9,693.1,13564.7,Prahlad R. Singh,U.S.,Waltham,Massachusetts,https://www.revvity.com,Public,12970
906,Portland General Electric,Energy,2842,2923,228,11208,Maria M. Pope,U.S.,Portland,Oregon,https://www.portlandgeneral.com,Public,4251
907,Woodward,Aerospace & Defense,8800,2914.6,232.4,4010.2,Charles Blankenship Jr.,U.S.,Fort Collins,Colorado,https://www.woodward.com,Public,9293
908,TEGNA,Media,6200,2910.9,476.7,7000.1,Michael Steib,U.S.,Tysons,Virginia,https://www.tegna.com,Public,2631
909,Sabre,Retailing,6232,2907.7,-527.6,4672.2,Kurt J. Ekert,U.S.,Southlake,Texas,https://www.sabre.com,Public,918
910,Light & Wonder,"Hotels, Restaurants & Leisure",6500,2902,163,5552,Matthew R. Wilson,U.S.,Las Vegas,Nevada,https://www.lnw.com,Public,9171
911,Vail Resorts,"Hotels, Restaurants & Leisure",32100,2889.4,268.1,5947.8,Kirsten A. Lynch,U.S.,Broomfield,Colorado,https://www.vailresorts.com,Public,8460
912,Radius Recycling,Materials,3353,2882.2,-25.8,1715.9,Tamara L. Lundgren,U.S.,Portland,Oregon,https://www.radiusrecycling.com,Public,589
913,PennyMac Financial Services,Financials,3914,2881.8,144.7,18844.6,David A. Spector,U.S.,Westlake Village,California,https://www.pennymacfinancial.com,Public,4594
914,Saia,Transportation,14000,2881.4,354.9,2583.6,Frederick J. Holzgrefe III,U.S.,Johns Creek,Georgia,https://www.saia.com,Public,15554
915,Equity Residential,Financials,2400,2874,835.4,20034.6,Mark J. Parrell,U.S.,Chicago,Illinois,https://www.equityapartments.com,Public,23954
916,Helmerich & Payne,Energy,7100,2872.4,434.1,4382,John W. Lindsay,U.S.,Tulsa,Oklahoma,https://www.hpinc.com,Public,4157
917,Korn Ferry,Business Services,10697,2863.8,209.5,3574.4,Gary D. Burnison,U.S.,Los Angeles,California,https://www.kornferry.com,Public,3431
918,PC Connection,Wholesalers,2703,2850.6,83.3,1188.4,Timothy J. McGrath,U.S.,Merrimack,New Hampshire,https://www.connection.com,Public,1738
919,Curtiss-Wright,Aerospace & Defense,8600,2845.4,354.5,4621,Lynn M. Bamford,U.S.,Davidson,North Carolina,https://www.curtisswright.com,Public,9797
920,SLM,Financials,1740,2839.4,581.4,29169.5,Jonathan W. Witter,U.S.,Newark,Delaware,https://www.salliemae.com,Public,4801
921,Benchmark Electronics,Technology,12703,2839,64.3,2274.8,Jeffrey W. Benck,U.S.,Tempe,Arizona,https://www.bench.com,Public,1074
922,American National Group,Financials,1020,2836,210.5,79918.3,Anant Bhalla,U.S.,West Des Moines,Iowa,https://www.american-equity.com,Private,4464
923,Pure Storage,Technology,5600,2830.6,61.3,3655.8,Charles H. Giancarlo,U.S.,Santa Clara,California,https://www.purestorage.com,Public,16892
924,Knife River,Materials,4389,2830.4,182.9,2599.8,Brian R. Gray,U.S.,Bismarck,North Dakota,https://www.kniferiver.com,Public,4590
925,Caleres,Retailing,7150,2817.3,171.4,1804.7,John W. Schmidt,U.S.,St. Louis,Missouri,https://www.caleres.com,Public,1457
926,BrightView Holdings,Business Services,20700,2816,-7.7,3352.2,Dale A. Asplund,U.S.,Blue Bell,Pennsylvania,https://www.brightview.com,Public,1123
927,Cooper-Standard Holdings,Motor Vehicles & Parts,21500,2815.9,-202,1872.3,Jeffrey S. Edwards,U.S.,Northville,Michigan,https://www.cooperstandard.com,Public,285
928,Primerica,Financials,3150,2815.7,576.6,15027.7,Glenn J. Williams,U.S.,Duluth,Georgia,https://www.primerica.com,Public,8777
929,F5,Technology,6492,2813.2,394.9,5248.3,Fran?ois Locoh-Donou,U.S.,Seattle,Washington,https://www.f5.com,Public,11149
930,Matador Resources,Energy,395,2806.8,846.1,7727,Joseph Wm. Foran,U.S.,Dallas,Texas,https://www.matadorresources.com,Public,8332
931,Snowflake,Technology,7004,2806.5,-836.1,8223.4,Sridhar Ramaswamy,U.S.,Bozeman,Montana,https://www.snowflake.com,Public,54007
932,Viasat,Technology,6800,2803.2,1084.8,7730.3,Mark D. Dankberg,U.S.,Carlsbad,California,https://www.viasat.com,Public,2267
933,California Resources,Energy,970,2801,564,3998,Francisco J. Leon,U.S.,Long Beach,California,https://www.crc.com,Public,3789
934,Peloton Interactive,"Hotels, Restaurants & Leisure",3541,2800.2,-1261.7,2769.1,Karen Boone/Christopher Bruzzo,U.S.,New York,New York,https://www.onepeloton.com,Public,1572
935,Roblox,Media,2457,2799.3,-1151.9,6168.1,David Baszucki,U.S.,San Mateo,California,https://www.corp.roblox.com,Public,24116
936,Installed Building Products,Engineering & Construction,10600,2778.6,243.7,1981.3,Jeffrey W. Edwards,U.S.,Columbus,Ohio,https://www.installedbuildingproducts.com,Public,7339
937,First National of Nebraska,Financials,4799,2777.5,227.4,31285.9,Clarkson D. Lauritzen,U.S.,Omaha,Nebraska,https://www.fnni.com,Public,3265
938,Guess,Retailing,12000,2776.5,198.2,2590,Carlos E. Alberini,U.S.,Los Angeles,California,https://www.guess.com,Public,1690
939,ESAB,Industrials,9000,2774.8,205.3,3828.6,Shyam P. Kambeyanda,U.S.,North Bethesda,Maryland,https://www.esabcorporation.com,Public,6672
940,Amica Mutual Insurance,Financials,3597,2772.5,-218.4,6668,Edmiund Shallcross III,U.S.,Lincoln,Rhode Island,https://www.amica.com,Private,
941,AvalonBay Communities,Financials,3009,2767.9,928.8,20678.2,Benjamin W. Schall,U.S.,Arlington,Virginia,https://www.avalonbay.com,Public,26384
942,DocuSign,Technology,6840,2761.9,74,2971.3,Allan C. Thygesen,U.S.,San Francisco,California,https://www.docusign.com,Public,12233
943,Titan Machinery,Retailing,3471,2758.4,112.4,1992.3,Bryan J. Knutson,U.S.,West Fargo,North Dakota,https://www.titanmachinery.com,Public,567
944,ModivCare,Health Care,21200,2756.2,-204.5,1767.3,L. Heath Sampson,U.S.,Denver,Colorado,https://www.modivcare.com,Public,333
945,Hovnanian Enterprises,Engineering & Construction,1715,2756,205.9,2492.9,Ara K. Hovnanian,U.S.,Matawan,New Jersey,https://www.khov.com,Public,957
946,Etsy,Retailing,2420,2748.4,307.6,2685.4,Joshua G. Silverman,U.S.,Brooklyn,New York,https://www.etsy.com,Public,8143
947,Adams Resources & Energy,Energy,741,2745.3,0.2,361.3,Kevin J. Roycraft,U.S.,Houston,Texas,https://www.adamsresources.com,Public,74
948,Surgery Partners,Health Care,12000,2743.3,-11.9,6876.7,J. Eric  Evans,U.S.,Brentwood,Tennessee,https://www.surgerypartners.com,Public,3777
949,Columbia Banking System,Financials,5114,2743.3,348.7,52173.6,Clint E. Stein,U.S.,Tacoma,Washington,https://www.columbiabankingsystem.com,Public,4050
950,Verisk,Business Services,7500,2728.2,614.6,4366.1,Lee M. Shavel,U.S.,Jersey City,New Jersey,https://www.verisk.com,Public,33801
951,MasterBrand,Materials,12307,2726.2,182,2381.7,R. David Banyard Jr.,U.S.,Beachwood,Ohio,https://www.masterbrand.com,Public,2380
952,Hawaiian Holdings,Transportation,7362,2716.3,-260.5,3733.5,Peter R. Ingram,U.S.,Honolulu,Hawaii,https://www.hawaiianairlines.com,Public,691
953,AMC Networks,Media,1900,2711.9,215.5,4969.8,Kristin A. Dolan,U.S.,New York,New York,https://www.amcnetworks.com,Public,528
954,SBA Communications,Financials,1787,2711.6,501.8,10178.4,Brendan T. Cavanagh,U.S.,Boca Raton,Florida,https://www.sbasite.com,Public,23427
955,Americold Realty Trust,Financials,14632,2702.8,-336.2,7869.3,George F. Chappelle Jr.,U.S.,Atlanta,Georgia,https://www.americold.com,Public,7072
956,NewMarket,Chemicals,2000,2698.4,388.9,2308.9,Thomas E. Gottwald,U.S.,Richmond,Virginia,https://www.newmarket.com,Public,6086
957,Park Hotels & Resorts,Financials,90,2698,97,9419,Thomas J. Baltimore Jr.,U.S.,Tysons,Virginia,https://www.pkhotelsandresorts.com,Public,3682
958,Alexandria Real Estate Equities,Financials,568,2690.3,103.6,36771.4,Peter M. Moglia,U.S.,Pasadena,California,https://www.are.com,Public,22555
959,Griffon,Materials,5700,2685.2,77.6,2418.9,Ronald J. Kramer,U.S.,New York,New York,https://www.griffon.com,Public,3763
960,Air Lease,Business Services,163,2685,614.6,30452.3,John L. Plueger,U.S.,Los Angeles,California,https://www.airleasecorp.com,Public,5729
961,UL Solutions,Business Services,15063,2678,260,2736,Jennifer F. Scanlon,U.S.,Northbrook,Illinois,https://www.ul.com,Public,
962,Teradyne,Technology,6500,2676.3,448.8,3486.8,Gregory S. Smith,U.S.,North Reading,Massachusetts,https://www.teradyne.com,Public,17260
963,OGE Energy,Energy,2329,2674.3,416.8,12790.7,Sean  Trauschke,U.S.,Oklahoma City,Oklahoma,https://www.ogeenergy.com,Public,6871
964,Bio-Rad Laboratories,Technology,8030,2671.3,-637.3,12299.1,Norman D. Schwartz,U.S.,Hercules,California,https://www.bio-rad.com,Public,9794
965,Spire,Energy,3589,2666.3,217.5,10313.6,Steven L. Lindsey,U.S.,St. Louis,Missouri,https://www.spireenergy.com,Public,3374
966,Gannett,Media,12800,2663.6,-27.8,2181.2,Michael E. Reed,U.S.,McLean,Virginia,https://www.gannett.com,Public,363
967,Stericycle,Business Services,13948,2659.3,-21.4,5352.6,Cindy J. Miller,U.S.,Bannockburn,Illinois,https://www.stericycle.com,Public,4883
968,Cullen/Frost Bankers,Financials,5495,2646.3,598,50845,Phillip D. Green,U.S.,San Antonio,Texas,https://www.frostbank.com,Public,7229
969,Extra Space Storage,Financials,7618,2645.1,803.2,27456.3,Joseph D. Margolis,U.S.,Salt Lake City,Utah,https://www.extraspace.com,Public,31102
970,REV Group,Motor Vehicles & Parts,6724,2638,45.3,1410.4,Mark A. Skonieczny,U.S.,Brookfield,Wisconsin,https://www.revgroup.com,Public,1144
971,ProFrac Holding,Energy,2949,2630,-97.7,3070.7,Ladd  Wilks,U.S.,Willow Park,Texas,https://www.pfholdingscorp.com,Public,1334
972,Nordson,Industrials,7900,2628.6,487.5,5251.8,Sundaram Nagarajan,U.S.,Westlake,Ohio,https://www.nordson.com,Public,15702
973,Summit Materials,Materials,5300,2619.5,285.9,5149.6,Anne P. Noonan,U.S.,Denver,Colorado,https://www.summit-materials.com,Public,7767
974,Valvoline,Chemicals,10250,2617.9,1419.7,2889.9,Lori A. Flees,U.S.,Lexington,Kentucky,https://www.valvoline.com,Public,5779
975,Kontoor Brands,Apparel,13700,2607.5,231,1645.4,Scott H. Baxter,U.S.,Greensboro,North Carolina,https://www.kontoorbrands.com,Public,3360
976,Skyline Champion,Engineering & Construction,7700,2606.6,401.8,1562.7,Mark J. Yost,U.S.,Troy,Michigan,https://ir.skylinechampion.com,Public,4910
977,Teladoc Health,Health Care,5208,2602.4,-220.4,4392.4,Charles Divita III,U.S.,Purchase,New York,https://www.teladochealth.com,Public,2522
978,Louisiana-Pacific,Materials,4100,2581,178,2437,W. Bradley Southern,U.S.,Nashville,Tennessee,https://www.lpcorp.com,Public,6068
979,Universal,"Food, Beverages & Tobacco",19600,2569.8,124.1,2639.2,George C. Freeman III,U.S.,Richmond,Virginia,https://www.universalcorp.com,Public,1271
980,Consol Energy,Energy,2020,2568.9,655.9,2675,James A. Brock,U.S.,Canonsburg,Pennsylvania,https://www.consolenergy.com,Public,2480
981,Encore Wire,Industrials,1629,2567.7,372.4,1967.9,Daniel L. Jones,U.S.,McKinney,Texas,https://www.encorewire.com,Private,4148
982,Playtika Holding,Media,3600,2567,235,3175,Robert Antokol,U.S.,Henderson,Nevada,https://www.playtika.com,Public,2613
983,Alliance Resource Partners,Energy,3595,2566.7,630.1,2788.4,Joseph W. Craft III,U.S.,Tulsa,Oklahoma,https://www.arlp.com,Public,2568
984,Envista Holdings,Health Care,12800,2566.5,-100.2,6605.1,Paul Keel,U.S.,Brea,California,https://www.envistaco.com,Public,3674
985,Shift4 Payments,Business Services,3030,2564.8,86.2,3387.8,Jared Isaacman,U.S.,Center Valley,Pennsylvania,https://www.shift4.com,Public,5695
986,Talen Energy,Energy,2000,2554,,7121,Mark  McFarland,U.S.,Houston,Texas,https://www.talenenergy.com,Public,5569
987,Carpenter Technology,Materials,4500,2550.3,56.4,3053.9,Tony R. Thene,U.S.,Philadelphia,Pennsylvania,https://www.carpentertechnology.com,Public,3529
988,WEX,Business Services,7200,2548,266.6,13882.1,Melissa D. Smith,U.S.,Portland,Maine,https://www.wexinc.com,Public,9913
989,Old National Bancorp,Financials,3940,2540.2,582,49089.8,James C. Ryan III,U.S.,Evansville,Indiana,https://www.oldnational.com,Public,5096
990,AGNC Investment,Financials,53,2538,155,71596,Peter J. Federico,U.S.,Bethesda,Maryland,https://www.agnc.com,Public,6887
991,Wabash National,Motor Vehicles & Parts,6667,2536.5,231.3,1362.8,Brent L. Yeagy,U.S.,Lafayette,Indiana,https://www.onewabash.com,Public,1350
992,MSCI,Business Services,5794,2528.9,1148.6,5518.2,Henry A. Fernandez,U.S.,New York,New York,https://www.msci.com,Public,44401
993,Stagwell,Business Services,10250,2527.2,0.1,3767,Mark Penn,U.S.,New York,New York,https://www.stagwellglobal.com,Public,1670
994,Mativ Holdings,Chemicals,5400,2516.9,-309.5,2642.4,Julie A. Schertell,U.S.,Alpharetta,Georgia,https://mativ.com,Public,1018
995,Belden,Industrials,8000,2512.1,242.8,3240.2,Ashish Chand,U.S.,St. Louis,Missouri,https://www.belden.com,Public,3805
996,Allegiant Travel,Transportation,6686,2509.9,117.6,4869.4,Maurice J. Gallagher Jr.,U.S.,Las Vegas,Nevada,https://www.allegiant.com,Public,1375
997,Dropbox,Technology,2693,2501.6,453.6,2983.5,Andrew W. Houston,U.S.,San Francisco,California,https://www.dropbox.com,Public,8359
998,Exact Sciences,Health Care,6550,2499.8,-204.1,6471.3,Kevin T. Conroy,U.S.,Madison,Wisconsin,https://www.exactsciences.com,Public,12537
999,BWX Technologies,Aerospace & Defense,7800,2496.3,245.8,2747.1,Rex D. Geveden,U.S.,Lynchburg,Virginia,https://www.bwxt.com,Public,9380
1000,Clear Channel Outdoor Hldgs.,Business Services,3900,2489,-310.9,4722.5,Scott R. Wells,U.S.,San Antonio,Texas,https://www.clearchanneloutdoor.com,Public,798
