code,current,name,gender,function,country,nationality,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang
1981204,TRUE,LOBNIK Metka,Female,Athlete,Slovenia,Slovenia,0,0,['Judo'],['Women -78 kg'],2001-04-09,MARIBOR,Slovenia,OREHOVA VAS,Slovenia,"Meta. ""The national coach started calling me Meta and after that most of the team started calling me that.""","Hiking and climbing, crochet, cooking and baking",Student,Elementary Education at University of Maribor (SLO),"English, Slovenian"
1981206,TRUE,KRAMPL Mia,Female,Athlete,Slovenia,Slovenia,163,0,['Sport Climbing'],"[""Women's Boulder & Lead""]",2000-07-21,KRANJ,Slovenia,,Slovenia,,Spending time with friends and family,Athlete,,"English, Slovenian"
1981214,TRUE,ZARABEC Miha,Male,Athlete,Slovenia,Slovenia,178,0,['Handball'],['Men'],1991-10-12,NOVO MESTO,Slovenia,PLOCK,Poland,,,Athlete,,"German, Slovenian"
1981224,TRUE,CHEPTOYEK Joy,Female,Athlete,Uganda,Uganda,156,0,['Athletics'],"[""Women's 5000m""]",2002-05-15,,,,,,,Athlete,,English
1981295,TRUE,MAWDSLEY Sharlene,Female,Athlete,Ireland,Ireland,176,0,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",1998-08-10,,,LIMERICK,Ireland,,,Athlete,Bachelor of Arts at University of Limerick (IRL),English
1981375,TRUE,GALLAGHER Jude,Male,Athlete,Ireland,Ireland,170,0,['Boxing'],"[""Men's 57kg""]",2001-10-05,NEWTOWNSTEWART,Great Britain,NEWTOWNSTEWART,Great Britain,Tyrone Tornado,,,,English
1981393,TRUE,JONES Terrence,Male,Athlete,Bahamas,Bahamas,193,0,['Athletics'],"[""Men's 100m""]",2002-11-08,WEST END,Bahamas,"LUBBOCK, TX",United States,,,"Athlete, student","Texas Tech University, Lubbock, TX (USA)",English
1981397,TRUE,SHEIKHALIZADEHKHANGHAH Mariam,Female,Athlete,Azerbaijan,Azerbaijan,0,0,['Swimming'],"[""Women's 50m Freestyle""]",2004-07-18,TEHRAN,IR Iran,BAKU,Azerbaijan,,,"Athlete, student",,"Azerbaijani, English, Persian"
1981426,TRUE,VALCOURT Javonya,Female,Athlete,Bahamas,Bahamas,173,0,['Athletics'],['4 x 400m Relay Mixed'],2004-12-08,,,"KNOXVILLE, TN",United States,,,Athlete,,English
1981463,TRUE,LJEPOJA Natasa,Female,Athlete,Slovenia,Slovenia,179,0,['Handball'],['Women'],1996-01-28,CELJE,Slovenia,RAMNICU VALCEA,Romania,,,Athlete,,Slovenian
1981464,TRUE,FILIPIC Neja,Female,Athlete,Slovenia,Slovenia,171,0,['Athletics'],"[""Women's Triple Jump""]",1995-04-22,LJUBLJANA,Slovenia,LJUBLJANA,Slovenia,,,Athlete,Pharmacy at University of Ljubljana (SLO),Slovene
1981466,TRUE,CEHTE Nejc,Male,Athlete,Slovenia,Slovenia,196,0,['Handball'],['Men'],1992-09-04,,,SITOLA,North Macedonia,,,"Athlete, engineer","Mechanical Engineering at the University of Ljubljana, SLO",Slovenian
1981468,TRUE,CERNIGOJ Nena,Female,Alternate Athlete,Slovenia,Slovenia,170,0,['Handball'],['Women'],2004-08-06,,Slovenia,AJDOVSCINA,Slovenia,,,Athlete,,Slovenian
1981469,TRUE,KLANCAR Neza,Female,Athlete,Slovenia,Slovenia,0,0,['Swimming'],"[""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 50m Freestyle""]",2000-02-19,,,,,,"Spending time with family, friends and her cat. Surfing",,,Slovenia
1981471,TRUE,MUJANOVIC Nik,Male,Athlete,Slovenia,Slovenia,206,0,['Volleyball'],['Men'],2004-10-14,,,,,Mujo,,Athlete,,Slovenian
1981475,TRUE,KOSTANJSEK Nina,Female,Athlete,Slovenia,Slovenia,0,0,['Rowing'],"[""Women's Single Sculls""]",1993-06-04,,,LJUBJANA,Slovenia,,,"Athlete, dentist",Graduated with a Doctorate's degree in Dental Medicine from University of Ljubljana (SLO),Slovene
1981476,TRUE,SPREITZER Nina,Female,Athlete,Slovenia,Slovenia,177,0,['Handball'],['Women'],1998-03-04,LJUBLJANA,Slovenia,LJUBLJANA,Slovenia,,,Athlete,,"English, Slovenian"
